match_id,date,team1,team2,winner,first_innings_total,dls_target,dls_overs,inn2_score_at_end,inn2_overs_bowled,inn2_wickets_at_end,current_score,ml_predicted_score,ml_target,dls_win_prediction,ml_win_prediction,actual_team2_won,target_diff
1133028,2018-03-21,West Indies,Scotland,West Indies,198.0,131.0,35,125,36,5,125,169.6,170,0,0,0.0,39.0
1133029,2018-03-22,United Arab Emirates,Zimbabwe,United Arab Emirates,235.0,230.0,40,226,40,7,226,240.5,241,0,0,0.0,11.0
1134540,2018-03-04,United Arab Emirates,Papua New Guinea,United Arab Emirates,221.0,170.0,28,113,26,10,113,157.7,158,0,0,0.0,-12.0
1140380,2018-10-13,England,Sri Lanka,England,278.0,172.0,29,140,29,5,140,222.4,223,0,0,0.0,51.0
1140382,2018-10-20,Sri Lanka,England,England,273.0,115.0,27,132,27,2,132,210.8,211,1,0,1.0,96.0
1140383,2018-10-23,Sri Lanka,England,Sri Lanka,366.0,352.0,26,132,27,9,132,193.1,194,0,0,0.0,-158.0
1142587,2018-08-08,Sri Lanka,South Africa,Sri Lanka,306.0,191.0,21,187,21,9,187,234.8,235,0,0,0.0,44.0
1144158,2019-01-25,South Africa,Pakistan,South Africa,317.0,175.0,33,187,33,2,187,240.5,241,1,0,0.0,66.0
1144169,2019-03-10,South Africa,Sri Lanka,South Africa,331.0,193.0,24,121,24,5,121,187.5,188,0,0,0.0,-5.0
1144171,2019-03-16,South Africa,Sri Lanka,South Africa,225.0,95.0,28,135,28,2,135,204.4,205,1,0,0.0,110.0
1144504,2019-06-16,India,Pakistan,India,336.0,302.0,40,212,40,6,212,257.5,258,0,0,0.0,-44.0
1153691,2019-01-23,New Zealand,India,India,157.0,156.0,49,156,35,2,156,184.5,185,1,0,1.0,29.0
1161228,2018-10-18,Pakistan,Australia,Australia,95.0,92.0,41,95,23,5,95,155.1,156,1,0,1.0,64.0
1168017,2019-06-09,England,West Indies,England,233.0,209.0,28,87,28,6,87,129.7,130,0,0,0.0,-79.0
1168018,2019-06-13,England,West Indies,England,258.0,267.0,39,131,38,9,131,139.9,140,0,0,0.0,-127.0
1168165,2019-02-14,South Africa,Sri Lanka,South Africa,268.0,262.0,47,231,47,10,231,224.5,232,0,0,0.0,-30.0
1168514,2019-05-17,Bangladesh,West Indies,Bangladesh,152.0,210.0,24,213,23,5,213,200.8,214,1,0,0.0,4.0
1169332,2019-05-21,Scotland,Sri Lanka,Sri Lanka,322.0,235.0,34,199,34,10,199,246.8,247,0,0,1.0,12.0
